request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_89,8896423.19,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2026-01-15,none,"Use 3 installments of IDR 4,768,746.67, starting 18 November 2025. This leaves at least IDR 12,534,700 available."
request_90,2559.99,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Pay ZAR 2,560 today. This keeps the ZAR 7,600 minimum available over the next 90 days."
request_91,276.94,affordable_later,wait,2024-11-15:1927.20,2024-11-15,none,"Pay EUR 1,927.2 in full on 15 November 2024. Paying earlier would take the balance below the EUR 2,100 minimum."
request_92,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 February 2025. None of the available options keeps the ZAR 28,100 minimum protected."
request_93,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 April 2026. None of the available options keeps the USD 1,900 minimum protected."
request_94,571.99,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572 today. This keeps the EUR 600 minimum available over the next 90 days.
request_95,19596.8,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 553,000 request. Although INR 19,596.8 is available today, the full amount cannot be completed safely within 90 days."
request_96,75825.04,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-01-15,none,"Use 3 installments of INR 31,269.33, starting 10 January 2026. This leaves at least INR 56,500 available."
request_97,2929.43,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,"Use 3 installments of ZAR 8,145.28, starting 19 March 2024. This leaves at least ZAR 29,700 available."
request_98,9400.8,affordable_later,wait,2025-09-15:27148,2025-09-15,none,"Pay ZAR 27,148 in full on 15 September 2025. Paying earlier would take the balance below the ZAR 30,000 minimum."
request_99,18061.99,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,"Pay ZAR 18,062 today. This keeps the ZAR 49,100 minimum available over the next 90 days."
request_100,28780.97,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,"Use 3 installments of ZAR 12,866.19, starting 13 June 2024. This leaves at least ZAR 32,500 available."
request_101,143499.99,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,"Pay INR 143,500 today. This keeps the INR 187,400 minimum available over the next 90 days."
request_102,1715.99,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 5 April 2026. This leaves at least EUR 900 available."
request_103,20111.84,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 368,300 request. Although INR 20,111.84 is available today, the full amount cannot be completed safely within 90 days."
request_104,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 April 2025. None of the available options keeps the ZAR 24,700 minimum protected."
request_105,53499.99,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,"Pay INR 53,500 today. This keeps the INR 73,900 minimum available over the next 90 days."
request_106,367.46,affordable_later,wait,2025-02-15:2207.70,2025-02-15,none,"Pay EUR 2,207.7 in full on 15 February 2025. Paying earlier would take the balance below the EUR 1,200 minimum."
request_107,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 4 July 2025. None of the available options keeps the EUR 1,600 minimum protected."
request_108,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 26 July 2026. None of the available options keeps the ZAR 24,100 minimum protected."
request_109,494.73,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-05-15,none,"Use 3 installments of EUR 645.98, starting 18 March 2024. This leaves at least EUR 1,700 available."
request_110,22351.99,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7,748.69, starting 6 August 2025. This leaves at least ZAR 11,200 available."
request_111,16624999.99,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,"Pay IDR 16,625,000 today. This keeps the IDR 23,022,800 minimum available over the next 90 days."
request_112,77.06,affordable_with_plan,full_payment,2024-06-05:271.70,,stop:event_10334,"Stop the delivery service plan, then Pay EUR 271.7 today. This leaves at least EUR 500 available."
request_113,33739.96,affordable_later,wait,2026-09-15:36500,2026-09-15,none,"Pay INR 36,500 in full on 15 September 2026. Paying earlier would take the balance below the INR 82,300 minimum."
request_114,65299.99,affordable_now,full_payment,2026-01-04:65300,2026-01-04,none,"Pay INR 65,300 today. This keeps the INR 113,400 minimum available over the next 90 days."
request_115,16726.04,affordable_later,wait,2024-11-15:80500,2024-11-15,none,"Pay INR 80,500 in full on 15 November 2024. Paying earlier would take the balance below the INR 38,800 minimum."
request_116,17787.56,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 241,200 request. Although INR 17,787.56 is available today, the full amount cannot be completed safely within 90 days."
request_117,879.99,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,"Pay EUR 880 today. This keeps the EUR 1,000 minimum available over the next 90 days."
request_118,664.72,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2025-02-15,none,"Use 3 installments of EUR 255.87, starting 7 December 2024. This leaves at least EUR 600 available."
request_119,70046.22,affordable_with_plan,installments,2025-05-18:70546.67|2025-06-15:70546.67|2025-07-13:70546.67,2025-06-15,none,"Use 3 installments of INR 70,546.67, starting 18 May 2025. This leaves at least INR 151,200 available."
request_120,7713999.99,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,"Pay IDR 7,714,000 today. This keeps the IDR 20,050,300 minimum available over the next 90 days."
request_121,633.59,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Pay USD 633.6 today. This keeps the USD 800 minimum available over the next 90 days.
request_122,20557999.99,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7,126,773.33, starting 5 August 2025. This leaves at least IDR 12,588,500 available."
request_123,4075999.99,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,"Pay IDR 4,076,000 today. This keeps the IDR 18,091,200 minimum available over the next 90 days."
request_124,1497.08,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-07-15,none,"Use 3 installments of EUR 1,076.12, starting 11 June 2024. This leaves at least EUR 1,600 available."
request_125,6467.99,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,"Pay ZAR 6,468 today. This keeps the ZAR 11,300 minimum available over the next 90 days."
request_126,159599.99,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,"Pay INR 159,600 today. This keeps the INR 129,700 minimum available over the next 90 days."
request_127,11011.09,affordable_later,wait,2024-10-15:23980,2024-10-15,none,"Pay ZAR 23,980 in full on 15 October 2024. Paying earlier would take the balance below the ZAR 41,000 minimum."
request_128,25167.99,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,"Pay ZAR 25,168 today. This keeps the ZAR 42,600 minimum available over the next 90 days."
request_129,159.7,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2,668.8 request. Although USD 159.7 is available today, the full amount cannot be completed safely within 90 days."
request_130,467.78,affordable_later,wait,2025-02-15:1978.80,2025-02-15,none,"Pay USD 1,978.8 in full on 15 February 2025. Paying earlier would take the balance below the USD 1,400 minimum."
request_131,1165.62,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-06-23,none,"Use 3 installments of USD 643.14, starting 6 May 2025. This leaves at least USD 1,100 available."
request_132,265.6,affordable_later,wait,2026-01-15:379.86,2026-01-15,none,"Pay USD 379.86 in full on 15 January 2026. Paying earlier would take the balance below the USD 1,100 minimum."
request_133,15769999.99,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 15,770,000 request. Although IDR 15,770,000 is available today, the full amount cannot be completed safely within 90 days."
request_134,7343943.66,affordable_later,wait,2025-09-15:21831000,2025-09-15,none,"Pay IDR 21,831,000 in full on 15 September 2025. Paying earlier would take the balance below the IDR 15,902,500 minimum."
request_135,304.79,affordable_now,full_payment,2026-07-06:304.80,2026-07-06,none,Pay USD 304.8 today. This keeps the USD 500 minimum available over the next 90 days.
request_136,560.39,affordable_now,full_payment,2024-06-03:560.40,2024-06-03,none,"Pay USD 560.4 today. This keeps the USD 1,100 minimum available over the next 90 days."
request_137,26621.67,affordable_later,wait,2026-01-15:80100,2026-01-15,stop:event_12572,"Stop the streaming subscription, then Pay INR 80,100 in full on 15 January 2026. Paying earlier would take the balance below the INR 71,800 minimum."
request_138,999.37,affordable_with_plan,partial_payment,2026-04-07:999.37|2026-04-15:257.57,2026-04-15,none,"Pay EUR 999.37 today and the remaining EUR 257.57 on 15 April 2026. This completes the full request and keeps the EUR 2,300 minimum protected."
request_139,1349.49,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-10-15,none,"Use 3 installments of USD 802.88, starting 7 September 2024. This leaves at least USD 1,500 available."
request_140,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 4 March 2025. None of the available options keeps the ZAR 21,600 minimum protected."
request_141,21837.26,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 171,600 request. Although INR 21,837.26 is available today, the full amount cannot be completed safely within 90 days."
request_142,1263.59,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,"Pay USD 1,263.6 today. This keeps the USD 1,700 minimum available over the next 90 days."
request_143,4170.88,affordable_later,wait,2025-07-15:12584,2025-07-15,none,"Pay ZAR 12,584 in full on 15 July 2025. Paying earlier would take the balance below the ZAR 11,300 minimum."
request_144,233.33,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Pay USD 233.34 today. This keeps the USD 600 minimum available over the next 90 days.
request_145,16489.38,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-05-15,none,"Use 3 installments of INR 75,365.33, starting 20 March 2024. This leaves at least INR 155,400 available."
request_146,27847.21,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 449,400 request. Although INR 27,847.21 is available today, the full amount cannot be completed safely within 90 days."
request_147,548.57,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-04-15,none,"Use 3 installments of EUR 391.63, starting 8 April 2026. This leaves at least EUR 900 available."
request_148,10020.19,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-06-15,none,"Use 3 installments of ZAR 7,710.56, starting 14 June 2024. This leaves at least ZAR 20,000 available."
request_149,20266.25,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-12-15,none,"Use 3 installments of ZAR 12,706.03, starting 18 November 2025. This leaves at least ZAR 42,100 available."
request_150,360.75,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-01-15,none,"Use 3 installments of EUR 171.98, starting 6 January 2026. This leaves at least EUR 700 available."
request_151,26998999.99,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,"Pay IDR 26,999,000 today. This keeps the IDR 31,633,600 minimum available over the next 90 days."
request_152,12048.29,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-02-15,none,"Use 3 installments of ZAR 4,812.43, starting 12 February 2025. This leaves at least ZAR 11,900 available."
request_153,145.74,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2,830.8 request. Although USD 145.74 is available today, the full amount cannot be completed safely within 90 days."
request_154,1239.04,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,,none,"Use 3 installments of EUR 563.61, starting 4 December 2024. This leaves at least EUR 1,300 available."
request_155,112499.99,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,"Pay INR 112,500 today. This keeps the INR 56,300 minimum available over the next 90 days."
request_156,8958.48,affordable_later,wait,2026-05-15:43076,2026-05-15,none,"Pay ZAR 43,076 in full on 15 May 2026. Paying earlier would take the balance below the ZAR 26,900 minimum."
request_157,5869588.29,affordable_later,wait,2024-05-15:23503000,2024-05-15,none,"Pay IDR 23,503,000 in full on 15 May 2024. Paying earlier would take the balance below the IDR 15,714,100 minimum."
request_158,242599.99,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84,101.33, starting 7 August 2025. This leaves at least INR 131,400 available."
request_159,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 20 March 2026. None of the available options keeps the ZAR 8,700 minimum protected."
request_160,600.8,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-06-15,none,"Use 3 installments of EUR 432.05, starting 13 June 2024. This leaves at least EUR 1,200 available."
request_161,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 January 2026. None of the available options keeps the IDR 23,010,400 minimum protected."
request_162,4130938.15,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 83,923,000 request. Although IDR 4,130,938.15 is available today, the full amount cannot be completed safely within 90 days."
request_163,11953800.88,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-10-15,none,"Use 3 installments of IDR 6,692,053.33, starting 10 September 2024. This leaves at least IDR 26,728,700 available."
request_164,27017999.99,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Use 3 installments of IDR 9,366,240, starting 11 February 2025. This leaves at least IDR 29,550,500 available."
request_165,80599.99,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,"Pay INR 80,600 today. This keeps the INR 95,000 minimum available over the next 90 days."
request_166,2907.59,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1,007.97, starting 3 December 2024. This leaves at least USD 1,700 available."
request_167,43801.99,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,"Pay ZAR 43,802 today. This keeps the ZAR 31,200 minimum available over the next 90 days."
request_168,35258.5,affordable_with_plan,partial_payment,2026-01-07:35258.50|2026-02-15:14121.50,2026-02-15,none,"Pay INR 35,258.5 today and the remaining INR 14,121.5 on 15 February 2026. This completes the full request and keeps the INR 114,400 minimum protected."
request_169,41975.99,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,"Pay ZAR 41,976 today. This keeps the ZAR 18,700 minimum available over the next 90 days."
request_170,34422077.08,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-08-15,none,"Use 3 installments of IDR 12,804,480, starting 6 August 2025. This leaves at least IDR 24,715,800 available."
request_171,77.33,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,878.8 request. Although EUR 77.33 is available today, the full amount cannot be completed safely within 90 days."
request_172,8022.18,affordable_with_plan,partial_payment,2024-06-05:8022.18|2024-06-15:2177.82,2024-06-15,none,"Pay ZAR 8,022.18 today and the remaining ZAR 2,177.82 on 15 June 2024. This completes the full request and keeps the ZAR 27,200 minimum protected."
request_173,63279.35,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2026-01-15,none,"Use 3 installments of INR 39,173.33, starting 21 November 2025. This leaves at least INR 79,100 available."
request_174,1146.19,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Use 3 installments of EUR 397.35, starting 4 April 2026. This leaves at least EUR 700 available."
request_175,2346.29,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,"Pay EUR 2,346.3 today. This keeps the EUR 1,700 minimum available over the next 90 days."
request_176,0,not_affordable,not_recommended,none,,none,Do not make this payment by 27 February 2025. None of the available options keeps the EUR 600 minimum protected.
request_177,1017.59,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,"Pay USD 1,017.6 today. This keeps the USD 1,300 minimum available over the next 90 days."
request_178,2938.09,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of EUR 1,018.54, starting 7 December 2024. This leaves at least EUR 1,400 available."
request_179,12808071.79,affordable_later,wait,2025-06-15:41648000,2025-06-15,none,"Pay IDR 41,648,000 in full on 15 June 2025. Paying earlier would take the balance below the IDR 41,430,800 minimum."
request_180,66499.99,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,"Pay INR 66,500 today. This keeps the INR 37,300 minimum available over the next 90 days."
